NOME;LATITUDE;LONGITUDE;TIPO;CATEGORIA;BAIRRO
Tingui;-25,38965577;-49,30543349;Parque;Público;São João
Caiua;-25,48848175;-49,35173631;Parque;Público;Cidade Industrial de Curitiba
Diadema;-25,49104651;-49,34829225;Parque;Público;São Miguel
Tropeiros;-25,49519207;-49,3579695;Parque;Público;São Miguel
Tangua;-25,37859348;-49,28542201;Parque;Público;Pilarzinho
Cajuru;-25,45907837;-49,19346537;Parque;Público;Cajuru
Atuba;-25,38050575;-49,20716417;Parque;Público;Atuba
Cambui;-25,47888014;-49,32905172;Parque;Público;Fazendinha
Gomm;-25,4421787;-49,29137423;Parque;Público;Batel
Bacacheri;-25,38985213;-49,22962206;Parque;Público;Bacacheri
zoologico;-25,55791139;-49,23305374;Zoológico;Público;Alto Boqueirão
biblioteca publica;-25,43104974;-49,27351527;Biblioteca;Público;Centro
Museu do expedicionário;-25,42868583;-49,25855283;Museu;Público;Centro
Museu paranaense;-25,42760644;-49,27614416;Museu;Público;São Francisco
Museu Oscar Niemeyer;-25,41034496;-49,26720393;Museu;Público;Centro Cívico
Museu do Holocausto;-25,41530817;-49,2725855;Museu;Público;Bom Retiro
Museu de Arte Contemporânea;-25,43325044;-49,27288296;Museu;Público;Centro
Museu Egípcio;-25,3906465;-49,226061;Museu;Público;Bacacheri
Museu da Imagem e Som;-25,43333834;-49,26767747;Museu;Público;Centro
Museu do Automóvel;-25,4229632;-49,30613344;Museu;Público;Bigorrilho
Museu da Arte Sacra;-25,42770997;-49,27225126;Museu;Público;São Francisco
Museu Alfredo Andersen;-25,42477889;-49,27119366;Museu;Público;São Francisco
Museu de História Natural;-25,43723821;-49,21890144;Museu;Público;Capão da Imbuia
Museu da Gravura;-25,42629012;-49,27005154;Museu;Público;Centro
Museu de Arte Indígena;-25,45407648;-49,28541359;Museu;Público;Água Verde
Memorial de Curitiba;-25,42777809;-49,27274186;Museu;Público;São Francisco
Museu Botânico;-25,44305131;-49,23460845;Museu;Público;Jardim Botânico
Passauna;-25,53425999;-49,38225613;Parque;Público;Augusta
Palladium;-25,47879371;-49,2897566;Cinema;Privado;Portão
Ventura;-25,47955389;-49,29304837;Cinema;Privado;Portão
Cidade;-25,47347881;-49,25191515;Cinema;Privado;Hauer
Boulevard;-25,4980783;-49,27599011;Cinema;Privado;Xaxim
Jardim das Américas;-25,45094079;-49,22852224;Cinema;Privado;Jardim das Américas
Shopping & Sports;-25,51869822;-49,25560925;Cinema;Privado;Xaxim
São José;-25,53874467;-49,20428622;Cinema;Privado;Centro
Jockey Plaza;-25,42704415;-49,21612882;Cinema;Privado;Tarumã
Cinemateca;-25,42477901;-49,27656901;Cinema;Privado;Centro Histórico
Estação;-25,43860546;-49,26721591;Cinema;Privado;Rebouças
Curitiba;-25,44121222;-49,27726331;Cinema;Privado;Centro
Mueller;-25,4227289;-49,27027777;Cinema;Privado;Centro Cívico
Pátio Batel;-25,44288104;-49,28956876;Cinema;Privado;Batel
Novo Batel;-25,43840709;-49,28338502;Cinema;Privado;Batel
Crystal;-25,43929286;-49,28127544;Cinema;Privado;Batel
Barigui;-25,43590742;-49,31617179;Cinema;Privado;Mossunguê
Couto Pereira;-25,42127627;-49,25896532;Estádio;Privado;Alto da Glória
Arena da Baixada;-25,44836659;-49,2769115;Estádio;Privado;Água Verde
Durival Britto e Silva;-25,43992566;-49,2559442;Estádio;Privado;Bairro Jardim Botânico
Guaira;-25,42836115;-49,26526835;Teatro;Privado;Centro
Positivo;-25,44654389;-49,35658087;Teatro;Privado;Cidade Industrial de Curitiba
Guarinha;-25,42838053;-49,26500013;Teatro;Privado;Centro
Lala Schneider;-25,42692985;-49,27188301;Teatro;Privado;São Francisco
Ópera de Arame;-25,38447663;-49,27631427;Casa de espetáculos;Privado;Pilarzinho
Capela Santa Maria;-25,4293915;-49,26531393;Casa de espetáculos;Privado;Centro
Paiol;-25,4479469;-49,25753677;Teatro;Privado;Prado Velho
Fernanda Montenegro;-25,43834656;-49,28380136;Teatro;Privado;Batel
Regina Vogue;-25,43775607;-49,26689031;Teatro;Privado;Centro
Puc;-25,45135768;-49,25202781;Teatro;Privado;Prado Velho
Pedreira Paulo Leminski;-25,38417207;-49,27750449;Casa de espetáculos;Privado;Pilarzinho
AABB;-25,42811969;-49,23182647;Clube;Privado;Tarumã
ASPP;-25,43952402;-49,27337483;Clube;Privado;Centro
Circulo Militar;-25,42713297;-49,26535539;Clube;Privado;Centro
Curitibano;-25,45127536;-49,28637663;Clube;Privado;Água Verde
Dom Pedro;-25,45208333;-49,27194896;Clube;Privado;Água Verde
Duque de Caxias;-25,39690783;-49,23776835;Clube;Privado;Bacacheri
Merces;-25,40740568;-49,33102356;Clube;Privado;Santa Felicidade
Rio Branco;-25,38054336;-49,23636913;Clube;Privado;Boa Vista
Urca;-25,40494364;-49,26711364;Clube;Privado;Ahú
Três Marias;-25,42203239;-49,35506752;Clube;Privado;São Braz
Graciosa Country Club;-25,40767302;-49,24840777;Clube;Privado;Cabral
Sociedade Água Verde;-25,4488056;-49,28730387;Clube;Privado;Água Verde
Sociedade Morgenau;-25,43118682;-49,24828576;Clube;Privado;Cristo Rei
Associação Nikkei;-25,43467175;-49,25381454;Clube;Privado;Cristo Rei
Sociedade Thalia;-25,43602094;-49,27915102;Clube;Privado;Centro
Paraná Clube;-25,46596301;-49,278622;Clube;Privado;Guaíra
Thalia Campo;-25,4204339;-49,21566857;Clube;Privado;Tarumã
Bosque Doutor Martin Lutero;-25,39771477;-49,24924657;Bosque;Público;Boa Vista
Bosque João Paulo II;-25,4090314;-49,26949807;Bosque;Público;Centro Cívico
Bosque do Capão da Imbuia;-25,43627793;-49,21958939;Bosque;Público;Capão da Imbuia
Bosque Gutierrez;-25,41215759;-49,2885097;Bosque;Público;Vista Alegre
Bosque Reinhard Maack;-25,4892885;-49,26058239;Bosque;Público;Hauer
Bosque do Pilarzinho;-25,39106874;-49,27812256;Bosque;Público;Pilarzinho
Unilivre;-25,39710269;-49,28272851;Bosque;Público;Pilarzinho
Bosque dos 300 anos;-25,54511039;-49,26969517;Bosque;Público;Sítio Cercado
Bosque de Portugal;-25,41557196;-49,23335935;Bosque;Público;Jardim Social
Bosque da Fazendinha;-25,47483982;-49,32300689;Bosque;Público;Fazendinha
Bosque do Alemão;-25,4046707;-49,28784778;Bosque;Público;Vista Alegre
Bosque Italiano;-25,40732472;-49,3341972;Bosque;Público;Santa Felicidade
Bosque do Trabalhador;-25,50900126;-49,31534984;Bosque;Público;Cidade Industrial de Curitiba
Bosque São Nicolau;-25,49665327;-49,34803181;Bosque;Público;Cidade Industrial de Curitiba
Bosque Irmã Clementina;-25,41174022;-49,21792176;Bosque;Público;Bairro Alto
Bosque dos Mundiais;-25,48106817;-49,30268664;Bosque;Público;Portão
Lago Azul;-25,57426245;-49,26832966;Bosque;Público;Ganchinho
Passeio Público;-25,42540562;-49,26731721;Parque;Público;Centro
Barigui;-25,42455617;-49,30655161;Parque;Público;Bigorrilho
Barreirinha;-25,36064258;-49,257571;Parque;Público;Cachoeira
São Lourenço;-25,38306604;-49,26688489;Parque;Público;São Lourenço
Náutico;-25,52380508;-49,22308439;Parque;Público;Boqueirão
General Ibere de Mattos;-25,38855702;-49,23167285;Parque;Público;Bacacheri
Pedreiras;-25,38420908;-49,27540549;Parque;Público;Pilarzinho
Jardim Botânico;-25,44230459;-49,23620908;Parque;Público;Bairro Jardim Botânico
Nascente do Belém;-25,35196898;-49,26605755;Parque;Público;Barreirinha